sk,29,h4,1g,91,49,dy,2.0
qq,wt,bg,vy,eg,38,er,3.5
cm,rt,x5,uq,kt,qx,m8,1.0
yi,zr,oc,3q,yy,gh,0c,0.5
oa,e0,ua,f9,f ,kq,mf,2.0
a3,1z,79,1x,76,ch,xy,2.5
go,lv,it,w3,kn,qq,r2,1.5
df,qa,f6,6y,v8,u ,4a,3.5
ev,re,oy,6x,o9,rg,vn,2.0
fr,ua,t8,nq,qt,vz,b9,4.5
fx,i4,0n,pq,54,5u,dm,2.5
z2,b1,a ,sy,w8,ni,kl,2.5
cq,jy,77,g9,h ,bn,37,2.5
4i,5k,gt,m9,se,gt,ho,4.0
qj,5t,ej,2q,rb,8y,gh,0.5
r,uu,7 ,1s,ft,ud,8d,2.5
4k,0g,2d,7f,fg,7w,rf,3.5
86,rl,zu,yt,7c,4y,gw,4.5
ja,p7,ad,jd,yc,0z,zf,5.0
4h,4n,2g,c2,3m,r6,78,1.0
rg,u0,ch,n0,3z,f2,g1,1.0
ib,te,y5,d8,nr,yj,3e,1.5
ix,bk,m5,zh,4w,49,h6,4.5
ok,9b,bm,06,r7,aq,tr,1.0
4o,1o,4o,b0,3l,1i,fm,4.0
3k,t3,yp,17,kk,64,dp,5.0
1o,mx,o2,uy,fm,34,v8,4.0
bw,ip,mv,4p,08,6d,5l,5.0
fp,m1,7d,it,3p,ao,md,1.5
2z,wh,4k,f1,pe,a ,2m,4.0
p8,e4,y2,sg,ea,q6,4t,3.5
oa,m6,on,gf,i1,60,p ,3.0
cj,qb,84,nx,zy,is,rz,4.5
es,yt,hx,ao,2q,7k,o5,3.5
kr,2r,up,qn,7z,l0,q9,1.0
26,mo,hr,4m,ce,po,w4,4.5
bf,jo,1m,kg,mh,l,cv,1.0
d,8a,l,wx,7c,x,it,0.5
ie,lk,n8,1x,ra,we,zi,3.0
eh,49,m3,7h,cw,hy,zy,0.5
s4,l8,0w,b8,vu,xx,h3,5.0
0p,82,49,a2,ud,8w,w4,1.0
nb,bm,yn,3l,hs,8,mm,0.5
cb,mo,ou,mp,ny,we,h9,4.5
or,3x,hg,1c,p3,sq,ir,5.0
rb,ql,to,z1,oj,b1,7q,3.5
aq,ff,jd,53,r4,22,qz,4.0
sc,uz,m1,h4,bs,1w,66,1.5
lm,69,25,us,d0,s3,ry,0.5
1a,z9,rx,9s,y2,7t,h9,0.5
pq,4z,t8,85,ks,lw,ux,3.0
qe,9o,ag,98,6o,lh,n,4.0
m3,q0,3c,na,kw,yo,v2,2.0
q9,ar,a9,e,1o,jd,7l,2.5
by,sc,42,94,e4,kz,3u,3.5
a8,vo,8x,09,05,bl,db,1.5
9o,wn,p9,lc,vs,88,fa,1.0
2d,5i,4d,wf,g,ea,03,2.0
r7,ya,ax,25,gs,7y,ih,3.0
o4,k6,6h,r4,2f,sg,zu,3.0
yv,4p,rd,5l,z7,6q,0p,4.0
pf,0m,0y,vt,1i,71,pv,5.0
vx,9f,k3,g2,yk,ix,6 ,5.0
ul,qk,wk,ya,tt,fr,x8,1.0
s,tb,m5,ds,w2,10,jj,0.5
9h,0v,gp,cs,lc,7y,e ,2.5
4f,ap,oq,pc,io,u2,v2,2.5
9t,fy,gb,2g,ya,yp,ww,0.5
96,lk,wz,al,k2,sg,wu,4.0
qn,b8,xo,i ,4 ,pu,i ,3.0
g,cu,1o,k ,o8,4b,hx,1.5
wl,mh,8a,d5,0g,7d,u3,3.5
s,mf,uy,z3,h1,qf,cx,5.0
d,ph,ks,zi,rg,qj,5q,1.0
h6,e5,j3,qi,a ,jx,6l,0.5
f4,7y,s0,ok,df,6 ,8w,2.5
t0,bu,16,fw,b ,mn,r1,4.5
sp,bz,4i,e0,hm,oy,yf,3.0
m,pg,f ,gi,cu,v7,08,3.5
l9,q8,rv,0v,49,61,zu,2.5
wh,88,t9,v ,qs,qz,91,2.5
u1,qz,wa,fd,jp,ht,ot,2.5
9z,rd,e2,ek,kv,5t,ax,2.5
5p,ia,i4,go,if,7q,qm,5.0
4c,go,s5,rb,rk,x1,48,3.5
c0,yc,ud,c7,hy,16,mf,3.5
9m,ni,l1,w ,iv,tl,ak,4.5
o8,9y,zg,sh,qh,yi,3q,3.5
h6,id,13,g3,b8,5v,jj,1.5
w3,kf,ab,1k,vg,mk,jc,1.5
rn,0i,jr,3j,tz,9i,n7,5.0
77,2u,id,vj,se,90,vb,4.5
ma,pz,74,6o,8z,go,gm,2.5
c,9c,k9,oq,zf,lq,ub,3.5
4h,ih,mi,8s,yw,o5,t4,0.5
vx,p5,z7,q,eh,2r,jx,5.0
f3,c4,tt,x,6z,a1,ny,4.0
6o,8p,qb,wc,ai,q9,l9,3.5
cg,8,r1,lf,nw,do,7g,1.0
y3,wf,vy,ep,lz,0q,29,3.0
